Country,CountryID,Continent,Population_growth,Total_fertility_rate_(per_woman),Population_in_1k,Pop_annual_growth_rate,Pop_proportion_over_60(%),Pop_proportion_under_15(%),Income_per_person,No._of_physicians,Per_capita_expense_on_health($),Adult_mortality_rate(15_to_60_yrs_per_1000),Adult_mortality_rate(15_to_60_yrs_per_1000)female,Adult_mortality_rate_(15_to_60_yrs_per_1000)male,Deaths_due_to_tuberculosis(per_100k),Tuberculosis_Incidence(per_100k_per_yr),Infant_mortality_rate_(per_1000),Life_expectancy_at_birth_(years),Diarrhoeal_death(%)under_5_yrs,Malaria_Death(%)under_5_yrs,Measels_death(%)under_5_yrs,Pneumonia_death(%)under_5_yrs
Albania,2,2,0.61,2.1,3172,0.6,13,26,5369,3626,358,137,103,170,3,19,15,71,10.5,0.4,0.1,10.6
Algeria,3,3,1.5,2.4,33351,1.5,7,29,6011,35368,188,135,122,149,2,56,33,71,11.9,0.5,0.9,13.7
Angola,4,3,2.9,6.5,16557,2.8,4,46,3533,1165,71,493,447,539,27,285,154,41,19.1,8.3,4.8,24.8
Antigua and Barbuda,5,4,1.32,2.2,84,1.3,11,28,14579,12,652,151,115,187,1,6,10,73,2.4,0,0,1.5
Argentina,6,5,0.97,2.3,39134,1,14,26,11063,108800,1665,124,86,162,5,39,14,75,1.3,0,0,3.4
Armenia,7,2,-0.31,1.3,3010,-0.3,14,20,3903,11133,272,184,115,262,10,72,21,69,10.5,0.5,0.1,11.8
Australia,8,6,1.32,1.8,20530,1.1,18,19,32798,47875,3122,65,47,82,1,6,5,82,0.1,0,0,1.2
Austria,9,2,0.71,1.4,8327,0.4,22,16,34108,30068,3545,79,51,105,1,13,4,80,0,0,0,0.7
Azerbaijan,10,2,1.02,1.7,8406,0.6,9,24,4648,30766,218,188,138,241,10,77,73,64,15.3,1,0.1,18.4
Bahamas,11,4,1.23,2,327,1.2,10,27,23021,312,1516,195,144,246,3,38,13,74,0.8,0,0,5.3
Bahrain,12,1,2.03,2.4,739,1.9,5,26,27236,1980,1008,104,84,116,4,41,9,75,0.7,0,0,1.4
Bangladesh,13,7,1.81,2.9,155991,1.8,6,35,1268,42881,69,254,258,251,45,225,52,63,20,0.7,2,17.6
Barbados,14,4,0.35,1.5,293,0.3,13,18,15837,322,1155,118,82,154,1,11,11,75,0,0,0,0
